21, Deleted path: 54, deletedWindow: 6, totalWindow: 473, m_inFlight[]: 6
7, Deleted path: 35, deletedWindow: 4, totalWindow: 198, m_inFlight[]: 4
7, Deleted path: 54, deletedWindow: 1, totalWindow: 192, m_inFlight[]: 2
7, Deleted path: 39, deletedWindow: 4, totalWindow: 194, m_inFlight[]: 4
7, Deleted path: 31, deletedWindow: 6, totalWindow: 220, m_inFlight[]: 6
35, Deleted path: 0, deletedWindow: 1, totalWindow: 34, m_inFlight[]: 0
35, Deleted path: 95, deletedWindow: 1, totalWindow: 26, m_inFlight[]: 0
7, Deleted path: 35, deletedWindow: 1, totalWindow: 253, m_inFlight[]: 0
7, Deleted path: 95, deletedWindow: 3, totalWindow: 271, m_inFlight[]: 3
21	contentNum: 67	timeTemp: 9.71812, contentTotal: 3, avg comp time: 9.61144, m_totalWindow: 408, sumOfWindow: 408
7, Deleted path: 39, deletedWindow: 1, totalWindow: 275, m_inFlight[]: 0
35, Deleted path: 9, deletedWindow: 3, totalWindow: 60, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 1, totalWindow: 89, m_inFlight[]: 1
7, Deleted path: 73, deletedWindow: 1, totalWindow: 312, m_inFlight[]: 6
7, Deleted path: 54, deletedWindow: 1, totalWindow: 326, m_inFlight[]: 1
7, Deleted path: 0, deletedWindow: 5, totalWindow: 300, m_inFlight[]: 5
35, Deleted path: 73, deletedWindow: 6, totalWindow: 116, m_inFlight[]: 6
7, Deleted path: 35, deletedWindow: 4, totalWindow: 342, m_inFlight[]: 4
35, Deleted path: 9, deletedWindow: 1, totalWindow: 137, m_inFlight[]: 1
7, Deleted path: 39, deletedWindow: 1, totalWindow: 364, m_inFlight[]: 0
35, Deleted path: 0, deletedWindow: 3, totalWindow: 156, m_inFlight[]: 3
35, Deleted path: 39, deletedWindow: 4, totalWindow: 176, m_inFlight[]: 4
7, Deleted path: 73, deletedWindow: 9, totalWindow: 402, m_inFlight[]: 9
7, Deleted path: 95, deletedWindow: 1, totalWindow: 346, m_inFlight[]: 2
35, Deleted path: 9, deletedWindow: 3, totalWindow: 203, m_inFlight[]: 3
35, Deleted path: 73, deletedWindow: 6, totalWindow: 229, m_inFlight[]: 6
7, Deleted path: 54, deletedWindow: 3, totalWindow: 343, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 1, totalWindow: 223, m_inFlight[]: 2
7, Deleted path: 0, deletedWindow: 4, totalWindow: 335, m_inFlight[]: 4
21, Deleted path: 95, deletedWindow: 1, totalWindow: 139, m_inFlight[]: 3
35, Deleted path: 9, deletedWindow: 2, totalWindow: 264, m_inFlight[]: 2
35, Deleted path: 54, deletedWindow: 1, totalWindow: 270, m_inFlight[]: 0
21, Deleted path: 95, deletedWindow: 5, totalWindow: 180, m_inFlight[]: 5
21, Deleted path: 54, deletedWindow: 4, totalWindow: 200, m_inFlight[]: 4
35, Deleted path: 0, deletedWindow: 1, totalWindow: 295, m_inFlight[]: 2
21, Deleted path: 35, deletedWindow: 1, totalWindow: 194, m_inFlight[]: 2
35, Deleted path: 39, deletedWindow: 3, totalWindow: 300, m_inFlight[]: 3
21, Deleted path: 54, deletedWindow: 4, totalWindow: 173, m_inFlight[]: 4
7	contentNum: 7	timeTemp: 13.7274, contentTotal: 3, avg comp time: 13.4264, m_totalWindow: 350, sumOfWindow: 350
35, Deleted path: 9, deletedWindow: 4, totalWindow: 268, m_inFlight[]: 4
21, Deleted path: 42, deletedWindow: 3, totalWindow: 178, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 1, totalWindow: 318, m_inFlight[]: 0
21, Deleted path: 35, deletedWindow: 1, totalWindow: 223, m_inFlight[]: 2
21, Deleted path: 95, deletedWindow: 1, totalWindow: 242, m_inFlight[]: 1
35, Deleted path: 54, deletedWindow: 5, totalWindow: 351, m_inFlight[]: 5
21, Deleted path: 18, deletedWindow: 2, totalWindow: 293, m_inFlight[]: 3
35, Deleted path: 9, deletedWindow: 1, totalWindow: 383, m_inFlight[]: 0
35, Deleted path: 0, deletedWindow: 3, totalWindow: 414, m_inFlight[]: 3
21, Deleted path: 54, deletedWindow: 1, totalWindow: 367, m_inFlight[]: 0
35, Deleted path: 39, deletedWindow: 6, totalWindow: 452, m_inFlight[]: 0
21, Deleted path: 35, deletedWindow: 4, totalWindow: 340, m_inFlight[]: 4
7, Deleted path: 73, deletedWindow: 1, totalWindow: 21, m_inFlight[]: 0
21, Deleted path: 54, deletedWindow: 1, totalWindow: 379, m_inFlight[]: 2
7, Deleted path: 0, deletedWindow: 1, totalWindow: 51, m_inFlight[]: 4
21, Deleted path: 95, deletedWindow: 1, totalWindow: 427, m_inFlight[]: 3
7, Deleted path: 0, deletedWindow: 4, totalWindow: 80, m_inFlight[]: 4
21	contentNum: 45	timeTemp: 9.76192, contentTotal: 4, avg comp time: 9.64154, m_totalWindow: 472, sumOfWindow: 472
7, Deleted path: 24, deletedWindow: 1, totalWindow: 96, m_inFlight[]: 4
