???Consumer setting starts35	timeTemp: 31.8267, contentTotal: 0, avg comp time: 31.8267
28	timeTemp: 31.8505, contentTotal: 44, avg comp time: 31.7947
7	timeTemp: 31.8343, contentTotal: 43, avg comp time: 31.7927
14	timeTemp: 31.8268, contentTotal: 44, avg comp time: 31.8121
35	timeTemp: 31.8275, contentTotal: 44, avg comp time: 31.7513
0	timeTemp: 31.8349, contentTotal: 44, avg comp time: 31.717
42	timeTemp: 31.8506, contentTotal: 44, avg comp time: 31.8296
28	timeTemp: 31.8493, contentTotal: 45, avg comp time: 31.7959
7	timeTemp: 31.8426, contentTotal: 44, avg comp time: 31.7938
14	timeTemp: 31.8572, contentTotal: 45, avg comp time: 31.8131
35	timeTemp: 31.8492, contentTotal: 45, avg comp time: 31.7534
0	timeTemp: 31.8504, contentTotal: 45, avg comp time: 31.7199
42	timeTemp: 31.8425, contentTotal: 45, avg comp time: 31.8298
28	timeTemp: 31.8563, contentTotal: 46, avg comp time: 31.7972
7	timeTemp: 30.2671, contentTotal: 45, avg comp time: 31.7606
35	timeTemp: 30.8827, contentTotal: 46, avg comp time: 31.7349
14	timeTemp: 31.8338, contentTotal: 46, avg comp time: 31.8135
0	timeTemp: 31.8573, contentTotal: 46, avg comp time: 31.7229
42	timeTemp: 31.842, contentTotal: 46, avg comp time: 31.8301
28	timeTemp: 31.8497, contentTotal: 47, avg comp time: 31.7983
7	timeTemp: 31.8411, contentTotal: 46, avg comp time: 31.7623
35	timeTemp: 31.8505, contentTotal: 47, avg comp time: 31.7373
14	timeTemp: 31.8275, contentTotal: 47, avg comp time: 31.8138
0	timeTemp: 31.8277, contentTotal: 47, avg comp time: 31.725
42	timeTemp: 31.8572, contentTotal: 47, avg comp time: 31.8307
28	timeTemp: 31.842, contentTotal: 48, avg comp time: 31.7991
7	timeTemp: 31.8498, contentTotal: 47, avg comp time: 31.7641
14	timeTemp: 31.8433, contentTotal: 48, avg comp time: 31.8144
35	timeTemp: 31.8425, contentTotal: 48, avg comp time: 31.7395
0	timeTemp: 31.858, contentTotal: 48, avg comp time: 31.7278
42	timeTemp: 31.8424, contentTotal: 48, avg comp time: 31.8309
28	timeTemp: 31.8574, contentTotal: 49, avg comp time: 31.8003
7	timeTemp: 31.8423, contentTotal: 48, avg comp time: 31.7657
35	timeTemp: 31.8351, contentTotal: 49, avg comp time: 31.7414
14	timeTemp: 31.8564, contentTotal: 49, avg comp time: 31.8152
0	timeTemp: 31.8297, contentTotal: 49, avg comp time: 31.7298
42	timeTemp: 31.8351, contentTotal: 49, avg comp time: 31.831
7	timeTemp: 31.8345, contentTotal: 49, avg comp time: 31.7671
28	timeTemp: 31.8428, contentTotal: 50, avg comp time: 31.8011
14	timeTemp: 31.8273, contentTotal: 50, avg comp time: 31.8155
35	timeTemp: 31.834, contentTotal: 50, avg comp time: 31.7432
42	timeTemp: 31.8569, contentTotal: 50, avg comp time: 31.8315
0	timeTemp: 31.8496, contentTotal: 50, avg comp time: 31.7321
7	timeTemp: 31.8492, contentTotal: 50, avg comp time: 31.7687
28	timeTemp: 31.8578, contentTotal: 51, avg comp time: 31.8022
14	timeTemp: 31.8568, contentTotal: 51, avg comp time: 31.8163
35	timeTemp: 31.8281, contentTotal: 51, avg comp time: 31.7448
42	timeTemp: 30.7425, contentTotal: 51, avg comp time: 31.8106
0	timeTemp: 31.8504, contentTotal: 51, avg comp time: 31.7344
7	timeTemp: 31.835, contentTotal: 51, avg comp time: 31.77
14	timeTemp: 31.8426, contentTotal: 52, avg comp time: 31.8168
35	timeTemp: 30.2759, contentTotal: 52, avg comp time: 31.7171
28	timeTemp: 31.8424, contentTotal: 52, avg comp time: 31.803
42	timeTemp: 31.8572, contentTotal: 52, avg comp time: 31.8114
0	timeTemp: 31.8345, contentTotal: 52, avg comp time: 31.7363
7	timeTemp: 31.8423, contentTotal: 52, avg comp time: 31.7714
35	timeTemp: 31.8566, contentTotal: 53, avg comp time: 31.7197
14	timeTemp: 31.8273, contentTotal: 53, avg comp time: 31.817
28	timeTemp: 31.8347, contentTotal: 53, avg comp time: 31.8036
42	timeTemp: 31.8423, contentTotal: 53, avg comp time: 31.812
0	timeTemp: 31.8507, contentTotal: 53, avg comp time: 31.7384
7	timeTemp: 31.8267, contentTotal: 53, avg comp time: 31.7724
14	timeTemp: 31.8431, contentTotal: 54, avg comp time: 31.8174
35	timeTemp: 31.8411, contentTotal: 54, avg comp time: 31.7219
28	timeTemp: 31.8421, contentTotal: 54, avg comp time: 31.8043
42	timeTemp: 31.8496, contentTotal: 54, avg comp time: 31.8127
0	timeTemp: 31.8434, contentTotal: 54, avg comp time: 31.7403
7	timeTemp: 31.8348, contentTotal: 54, avg comp time: 31.7735
35	timeTemp: 31.8579, contentTotal: 55, avg comp time: 31.7243
14	timeTemp: 31.8346, contentTotal: 55, avg comp time: 31.8177
28	timeTemp: 31.8568, contentTotal: 55, avg comp time: 31.8052
42	timeTemp: 31.843, contentTotal: 55, avg comp time: 31.8132
0	timeTemp: 31.8421, contentTotal: 55, avg comp time: 31.7422
35	timeTemp: 31.8497, contentTotal: 56, avg comp time: 31.7265
7	timeTemp: 31.8492, contentTotal: 55, avg comp time: 31.7749
14	timeTemp: 31.8502, contentTotal: 56, avg comp time: 31.8183
28	timeTemp: 31.8493, contentTotal: 56, avg comp time: 31.806
42	timeTemp: 31.8412, contentTotal: 56, avg comp time: 31.8137
0	timeTemp: 30.268, contentTotal: 56, avg comp time: 31.7163
7	timeTemp: 31.8341, contentTotal: 56, avg comp time: 31.7759
14	timeTemp: 31.8348, contentTotal: 57, avg comp time: 31.8186
35	timeTemp: 31.8428, contentTotal: 57, avg comp time: 31.7285
28	timeTemp: 31.8498, contentTotal: 57, avg comp time: 31.8067
42	timeTemp: 31.4116, contentTotal: 57, avg comp time: 31.8068
0	timeTemp: 31.8498, contentTotal: 57, avg comp time: 31.7186
7	timeTemp: 31.8421, contentTotal: 57, avg comp time: 31.777
14	timeTemp: 31.85, contentTotal: 58, avg comp time: 31.8191
35	timeTemp: 31.8566, contentTotal: 58, avg comp time: 31.7307
42	timeTemp: 31.8347, contentTotal: 58, avg comp time: 31.8073
28	timeTemp: 31.8574, contentTotal: 58, avg comp time: 31.8076
0	timeTemp: 31.835, contentTotal: 58, avg comp time: 31.7206
7	timeTemp: 31.8421, contentTotal: 58, avg comp time: 31.7781
14	timeTemp: 31.8428, contentTotal: 59, avg comp time: 31.8195
35	timeTemp: 31.841, contentTotal: 59, avg comp time: 31.7325
42	timeTemp: 31.8569, contentTotal: 59, avg comp time: 31.8081
28	timeTemp: 31.8577, contentTotal: 59, avg comp time: 31.8084
0	timeTemp: 31.8343, contentTotal: 59, avg comp time: 31.7225
7	timeTemp: 31.8444, contentTotal: 59, avg comp time: 31.7792
14	timeTemp: 31.8497, contentTotal: 60, avg comp time: 31.82
35	timeTemp: 31.8414, contentTotal: 60, avg comp time: 31.7343
28	timeTemp: 31.8574, contentTotal: 60, avg comp time: 31.8092
42	timeTemp: 31.8415, contentTotal: 60, avg comp time: 31.8086
0	timeTemp: 31.8339, contentTotal: 60, avg comp time: 31.7243
7	timeTemp: 31.8271, contentTotal: 60, avg comp time: 31.78
14	timeTemp: 31.8574, contentTotal: 61, avg comp time: 31.8206
35	timeTemp: 31.8507, contentTotal: 61, avg comp time: 31.7362
28	timeTemp: 31.8432, contentTotal: 61, avg comp time: 31.8098
42	timeTemp: 31.8569, contentTotal: 61, avg comp time: 31.8094
0	timeTemp: 31.8266, contentTotal: 61, avg comp time: 31.7259
7	timeTemp: 31.8427, contentTotal: 61, avg comp time: 31.781
14	timeTemp: 31.8425, contentTotal: 62, avg comp time: 31.821
35	timeTemp: 31.8418, contentTotal: 62, avg comp time: 31.7379
28	timeTemp: 31.8568, contentTotal: 62, avg comp time: 31.8105
42	timeTemp: 31.8342, contentTotal: 62, avg comp time: 31.8098
0	timeTemp: 31.8427, contentTotal: 62, avg comp time: 31.7278
14	timeTemp: 31.8442, contentTotal: 63, avg comp time: 31.8213
7	timeTemp: 31.8429, contentTotal: 62, avg comp time: 31.782
35	timeTemp: 31.8278, contentTotal: 63, avg comp time: 31.7393
42	timeTemp: 31.8427, contentTotal: 63, avg comp time: 31.8103
28	timeTemp: 31.8425, contentTotal: 63, avg comp time: 31.811
0	timeTemp: 31.8347, contentTotal: 63, avg comp time: 31.7295
14	timeTemp: 31.8493, contentTotal: 64, avg comp time: 31.8218
7	timeTemp: 31.8421, contentTotal: 63, avg comp time: 31.783
35	timeTemp: 31.8353, contentTotal: 64, avg comp time: 31.7408
42	timeTemp: 31.8431, contentTotal: 64, avg comp time: 31.8108
28	timeTemp: 31.8414, contentTotal: 64, avg comp time: 31.8115
14	timeTemp: 31.8274, contentTotal: 65, avg comp time: 31.8218
7	timeTemp: 31.8423, contentTotal: 64, avg comp time: 31.7839
0	timeTemp: 31.8502, contentTotal: 64, avg comp time: 31.7313
35	timeTemp: 31.8281, contentTotal: 65, avg comp time: 31.7421
42	timeTemp: 31.8499, contentTotal: 65, avg comp time: 31.8114
28	timeTemp: 31.857, contentTotal: 65, avg comp time: 31.8122
14	timeTemp: 31.8565, contentTotal: 66, avg comp time: 31.8224
0	timeTemp: 31.8566, contentTotal: 65, avg comp time: 31.7332
7	timeTemp: 31.842, contentTotal: 65, avg comp time: 31.7848
35	timeTemp: 31.8414, contentTotal: 66, avg comp time: 31.7436
