Path delete. m_index: 0, deleted path: 49, deletedWindow: 10, totalWindow: 1644, m_inFlight[]: 10, totalInFlight: 1703, m_pathWindow:  63
BranchIndex: 78, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 79, m_window[]: 67, m_inFlight[]: 67
BranchIndex: 80, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 81, m_window[]: 13, m_inFlight[]: 13
BranchIndex: 82, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 83, m_window[]: 11, m_inFlight[]: 11
BranchIndex: 84, m_window[]: 28, m_inFlight[]: 28
BranchIndex: 85, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 86, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 87, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 88, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 89, m_window[]: 20, m_inFlight[]: 20
BranchIndex: 90, m_window[]: 36, m_inFlight[]: 36
BranchIndex: 91, m_window[]: 11, m_inFlight[]: 11
BranchIndex: 92, m_window[]: 35, m_inFlight[]: 35
BranchIndex: 93, m_window[]: 16, m_inFlight[]: 16
BranchIndex: 94, m_window[]: 25, m_inFlight[]: 25
BranchIndex: 95, m_window[]: 0, m_inFlight[]: 0
sumOfWindow: 1622, totalWindow: 1622
0	22.4526	contentNum: 225	timeTemp: 6.45358, contentTotal: 2, avg comp time: 6.2842, m_totalWindow: 1753, sumOfWindow: 1753
Path delete. m_index: 0, deleted path: 74, deletedWindow: 1, totalWindow: 1791, m_inFlight[]: 5, totalInFlight: 1839, m_pathWindow:  67
BranchIndex: 0, m_window[]: 8, m_inFlight[]: 8
BranchIndex: 1, m_window[]: 1, m_inFlight[]: 1
BranchIndex: 2, m_window[]: 8, m_inFlight[]: 8
BranchIndex: 3, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 4, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 5, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 6, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 7, m_window[]: 63, m_inFlight[]: 63
BranchIndex: 8, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 9, m_window[]: 25, m_inFlight[]: 25
BranchIndex: 10, m_window[]: 12, m_inFlight[]: 12
BranchIndex: 11, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 12, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 13, m_window[]: 2, m_inFlight[]: 2
BranchIndex: 14, m_window[]: 26, m_inFlight[]: 26
BranchIndex: 15, m_window[]: 14, m_inFlight[]: 14
BranchIndex: 16, m_window[]: 3, m_inFlight[]: 3
BranchIndex: 17, m_window[]: 17, m_inFlight[]: 17
BranchIndex: 18, m_window[]: 8, m_inFlight[]: 8
BranchIndex: 19, m_window[]: 45, m_inFlight[]: 45
BranchIndex: 20, m_window[]: 34, m_inFlight[]: 34
BranchIndex: 21, m_window[]: 5, m_inFlight[]: 8
BranchIndex: 22, m_window[]: 3, m_inFlight[]: 3
BranchIndex: 23, m_window[]: 39, m_inFlight[]: 39
BranchIndex: 24, m_window[]: 59, m_inFlight[]: 59
BranchIndex: 25, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 26, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 27, m_window[]: 14, m_inFlight[]: 14
BranchIndex: 28, m_window[]: 24, m_inFlight[]: 24
BranchIndex: 29, m_window[]: 9, m_inFlight[]: 9
BranchIndex: 30, m_window[]: 58, m_inFlight[]: 58
BranchIndex: 31, m_window[]: 24, m_inFlight[]: 24
BranchIndex: 32, m_window[]: 18, m_inFlight[]: 18
BranchIndex: 33, m_window[]: 20, m_inFlight[]: 20
BranchIndex: 34, m_window[]: 8, m_inFlight[]: 30
BranchIndex: 35, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 36, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 37, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 38, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 39, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 40, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 41, m_window[]: 9, m_inFlight[]: 9
BranchIndex: 42, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 43, m_window[]: 60, m_inFlight[]: 60
BranchIndex: 44, m_window[]: 59, m_inFlight[]: 59
BranchIndex: 45, m_window[]: 14, m_inFlight[]: 14
BranchIndex: 46, m_window[]: 23, m_inFlight[]: 23
BranchIndex: 47, m_window[]: 47, m_inFlight[]: 47
BranchIndex: 48, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 49, m_window[]: 33, m_inFlight[]: 33
BranchIndex: 50, m_window[]: 23, m_inFlight[]: 23
BranchIndex: 51, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 52, m_window[]: 20, m_inFlight[]: 20
BranchIndex: 53, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 54, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 55, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 56, m_window[]: 45, m_inFlight[]: 45
BranchIndex: 57, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 58, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 59, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 60, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 61, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 62, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 63, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 64, m_window[]: 44, m_inFlight[]: 44
BranchIndex: 65, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 66, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 67, m_window[]: 10, m_inFlight[]: 10
BranchIndex: 68, m_window[]: 66, m_inFlight[]: 66
BranchIndex: 69, m_window[]: 6, m_inFlight[]: 14
BranchIndex: 70, m_window[]: 66, m_inFlight[]: 66
BranchIndex: 71, m_window[]: 41, m_inFlight[]: 41
BranchIndex: 72, m_window[]: 7, m_inFlight[]: 7
BranchIndex: 73, m_window[]: 15, m_inFlight[]: 15
BranchIndex: 74, m_window[]: 1, m_inFlight[]: 5
BranchIndex: 75, m_window[]: 4, m_inFlight[]: 4
BranchIndex: 76, m_window[]: 49, m_inFlight[]: 49
BranchIndex: 77, m_window[]: 56, m_inFlight[]: 56
BranchIndex: 78, m_window[]: 67, m_inFlight[]: 67
BranchIndex: 79, m_window[]: 67, m_inFlight[]: 67
BranchIndex: 80, m_window[]: 73, m_inFlight[]: 73
BranchIndex: 81, m_window[]: 16, m_inFlight[]: 16
BranchIndex: 82, m_window[]: 10, m_inFlight[]: 10
BranchIndex: 83, m_window[]: 34, m_inFlight[]: 34
BranchIndex: 84, m_window[]: 21, m_inFlight[]: 21
BranchIndex: 85, m_window[]: 2, m_inFlight[]: 13
BranchIndex: 86, m_window[]: 50, m_inFlight[]: 50
BranchIndex: 87, m_window[]: 28, m_inFlight[]: 28
BranchIndex: 88, m_window[]: 33, m_inFlight[]: 33
BranchIndex: 89, m_window[]: 18, m_inFlight[]: 18
BranchIndex: 90, m_window[]: 25, m_inFlight[]: 25
BranchIndex: 91, m_window[]: 12, m_inFlight[]: 12
BranchIndex: 92, m_window[]: 9, m_inFlight[]: 9
BranchIndex: 93, m_window[]: 15, m_inFlight[]: 15
BranchIndex: 94, m_window[]: 32, m_inFlight[]: 32
BranchIndex: 95, m_window[]: 29, m_inFlight[]: 29
sumOfWindow: 1791, totalWindow: 1791
0	29.8379	contentNum: 57	timeTemp: 6.18533, contentTotal: 3, avg comp time: 6.25948, m_totalWindow: 1775, sumOfWindow: 1775
0	37.1698	contentNum: 49	timeTemp: 6.13191, contentTotal: 4, avg comp time: 6.23397, m_totalWindow: 2003, sumOfWindow: 2003
0	44.4072	contentNum: 9651	timeTemp: 6.03734, contentTotal: 5, avg comp time: 6.2012, m_totalWindow: 2118, sumOfWindow: 2118
Path delete. m_index: 0, deleted path: 83, deletedWindow: 5, totalWindow: 1912, m_inFlight[]: 5, totalInFlight: 1911, m_pathWindow:  66
BranchIndex: 0, m_window[]: 60, m_inFlight[]: 60
BranchIndex: 1, m_window[]: 32, m_inFlight[]: 32
BranchIndex: 2, m_window[]: 16, m_inFlight[]: 16
BranchIndex: 3, m_window[]: 30, m_inFlight[]: 30
BranchIndex: 4, m_window[]: 48, m_inFlight[]: 48
BranchIndex: 5, m_window[]: 16, m_inFlight[]: 16
BranchIndex: 6, m_window[]: 41, m_inFlight[]: 41
BranchIndex: 7, m_window[]: 15, m_inFlight[]: 15
BranchIndex: 8, m_window[]: 27, m_inFlight[]: 27
BranchIndex: 9, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 10, m_window[]: 50, m_inFlight[]: 50
BranchIndex: 11, m_window[]: 11, m_inFlight[]: 11
BranchIndex: 12, m_window[]: 68, m_inFlight[]: 68
BranchIndex: 13, m_window[]: 61, m_inFlight[]: 61
BranchIndex: 14, m_window[]: 62, m_inFlight[]: 62
BranchIndex: 15, m_window[]: 36, m_inFlight[]: 36
BranchIndex: 16, m_window[]: 48, m_inFlight[]: 48
BranchIndex: 17, m_window[]: 19, m_inFlight[]: 19
BranchIndex: 18, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 19, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 20, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 21, m_window[]: 20, m_inFlight[]: 20
BranchIndex: 22, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 23, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 24, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 25, m_window[]: 63, m_inFlight[]: 63
BranchIndex: 26, m_window[]: 32, m_inFlight[]: 32
BranchIndex: 27, m_window[]: 6, m_inFlight[]: 6
BranchIndex: 28, m_window[]: 67, m_inFlight[]: 67
BranchIndex: 29, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 30, m_window[]: 54, m_inFlight[]: 54
BranchIndex: 31, m_window[]: 59, m_inFlight[]: 59
BranchIndex: 32, m_window[]: 34, m_inFlight[]: 34
BranchIndex: 33, m_window[]: 18, m_inFlight[]: 18
BranchIndex: 34, m_window[]: 17, m_inFlight[]: 17
BranchIndex: 35, m_window[]: 1, m_inFlight[]: 2
BranchIndex: 36, m_window[]: 46, m_inFlight[]: 46
BranchIndex: 37, m_window[]: 29, m_inFlight[]: 29
BranchIndex: 38, m_window[]: 35, m_inFlight[]: 35
BranchIndex: 39, m_window[]: 36, m_inFlight[]: 36
BranchIndex: 40, m_window[]: 31, m_inFlight[]: 31
BranchIndex: 41, m_window[]: 20, m_inFlight[]: 20
BranchIndex: 42, m_window[]: 17, m_inFlight[]: 17
BranchIndex: 43, m_window[]: 39, m_inFlight[]: 39
BranchIndex: 44, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 45, m_window[]: 33, m_inFlight[]: 33
BranchIndex: 46, m_window[]: 47, m_inFlight[]: 47
BranchIndex: 47, m_window[]: 13, m_inFlight[]: 13
BranchIndex: 48, m_window[]: 7, m_inFlight[]: 7
BranchIndex: 49, m_window[]: 2, m_inFlight[]: 2
BranchIndex: 50, m_window[]: 9, m_inFlight[]: 9
BranchIndex: 51, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 52, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 53, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 54, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 55, m_window[]: 15, m_inFlight[]: 15
BranchIndex: 56, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 57, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 58, m_window[]: 14, m_inFlight[]: 14
BranchIndex: 59, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 60, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 61, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 62, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 63, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 64, m_window[]: 31, m_inFlight[]: 31
BranchIndex: 65, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 66, m_window[]: 14, m_inFlight[]: 14
BranchIndex: 67, m_window[]: 7, m_inFlight[]: 7
BranchIndex: 68, m_window[]: 4, m_inFlight[]: 4
BranchIndex: 69, m_window[]: 10, m_inFlight[]: 10
BranchIndex: 70, m_window[]: 56, m_inFlight[]: 56
BranchIndex: 71, m_window[]: 53, m_inFlight[]: 53
BranchIndex: 72, m_window[]: 41, m_inFlight[]: 41
BranchIndex: 73, m_window[]: 7, m_inFlight[]: 7
BranchIndex: 74, m_window[]: 2, m_inFlight[]: 2
BranchIndex: 75, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 76, m_window[]: 35, m_inFlight[]: 35
BranchIndex: 77, m_window[]: 47, m_inFlight[]: 47
BranchIndex: 78, m_window[]: 1, m_inFlight[]: 1
BranchIndex: 79, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 80, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 81, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 82, m_window[]: 40, m_inFlight[]: 40
BranchIndex: 83, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 84, m_window[]: 21, m_inFlight[]: 21
BranchIndex: 85, m_window[]: 6, m_inFlight[]: 6
BranchIndex: 86, m_window[]: 58, m_inFlight[]: 58
BranchIndex: 87, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 88, m_window[]: 43, m_inFlight[]: 43
BranchIndex: 89, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 90, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 91, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 92, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 93, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 94, m_window[]: 17, m_inFlight[]: 17
BranchIndex: 95, m_window[]: 0, m_inFlight[]: 0
sumOfWindow: 1912, totalWindow: 1912
0	51.8682	contentNum: 2	timeTemp: 6.26099, contentTotal: 6, avg comp time: 6.20974, m_totalWindow: 2044, sumOfWindow: 2044
0	59.3832	contentNum: 661	timeTemp: 6.315, contentTotal: 7, avg comp time: 6.2229, m_totalWindow: 2071, sumOfWindow: 2071
0	66.663	contentNum: 47855	timeTemp: 6.07981, contentTotal: 8, avg comp time: 6.207, m_totalWindow: 1955, sumOfWindow: 1955
0	73.8412	contentNum: 1088	timeTemp: 5.97825, contentTotal: 9, avg comp time: 6.18412, m_totalWindow: 2247, sumOfWindow: 2247
Path delete. m_index: 0, deleted path: 13, deletedWindow: 12, totalWindow: 1671, m_inFlight[]: 12, totalInFlight: 1697, m_pathWindow:  63
BranchIndex: 0, m_window[]: 23, m_inFlight[]: 23
BranchIndex: 1, m_window[]: 4, m_inFlight[]: 4
BranchIndex: 2, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 3, m_window[]: 11, m_inFlight[]: 11
BranchIndex: 4, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 5, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 6, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 7, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 8, m_window[]: 28, m_inFlight[]: 28
BranchIndex: 9, m_window[]: 17, m_inFlight[]: 17
BranchIndex: 10, m_window[]: 1, m_inFlight[]: 1
BranchIndex: 11, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 12, m_window[]: 62, m_inFlight[]: 62
BranchIndex: 13, m_window[]: 12, m_inFlight[]: 12
BranchIndex: 14, m_window[]: 28, m_inFlight[]: 28
BranchIndex: 15, m_window[]: 65, m_inFlight[]: 65
BranchIndex: 16, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 17, m_window[]: 23, m_inFlight[]: 23
BranchIndex: 18, m_window[]: 9, m_inFlight[]: 9
BranchIndex: 19, m_window[]: 29, m_inFlight[]: 29
BranchIndex: 20, m_window[]: 46, m_inFlight[]: 46
BranchIndex: 21, m_window[]: 12, m_inFlight[]: 12
